"Period","City_Province","Retail_Sales","Population","Population_Male","Population_Female","Population_15_29","Population_30_59","Population_60_Plus","Population_below_15","Unemployment_Rate_15_29","Unemployment_Rate_30_59","Unemployment_Rate_60_Plus","Number_of_Households","Household_Size","Retail_Sales_Per_Household"
"2020.05","Jeollabuk-do","84064","1810097.0","899894.0","910203.0","307708","767803","518857","215729","11.0","2.5","0.6","824032.0","2.1966343540056696","0.10201545571045785"
"2020.05","Jeollanam-do","65347","1855945.0","932496.0","923449.0","292618","769963","578188","215176","7.6","2.2","1.4","880440.0","2.107974421879969","0.07422084412339285"
"2020.05","Sejong","36941","345373.0","172269.0","173104.0","54089","170765","50154","70365","13.0","1.7","2.8","137893.0","2.5046449058327833","0.2678961223557396"
"2020.05","Seoul","1597376","9724496.0","4735431.0","4989065.0","1896997","4585029","2223446","1019024","10.1","3.8","6.1","4373610.0","2.2234483641659866","0.36523055325006115"
"2020.05","Ulsan","138662","1143148.0","587434.0","555714.0","205944","557223","222573","157408","12.1","3.2","4.7","472255.0","2.4206159807730994","0.29361679601062984"
"2020.06","Busan","429426","3404423.0","1668618.0","1735805.0","582328","1518036","936881","367178","13.3","3.5","4.1","1513956.0","2.248693489110648","0.28364496722493915"
"2020.06","Chungcheongbuk-do","82676","1597593.0","809657.0","787936.0","277711","713136","408429","198317","10.2","1.8","2.2","732285.0","2.181654683627276","0.11290139767986508"
"2020.06","Chungcheongnam-do","132495","2119771.0","1081224.0","1038547.0","347155","941942","553154","277520","10.4","3.1","2.5","971033.0","2.1830061388232944","0.13644747397874224"
"2020.06","Daegu","307351","2427954.0","1198815.0","1229139.0","446656","1115867","575738","289693","10.9","3.5","2.7","1046585.0","2.3198822838087687","0.2936703659998949"
"2020.06","Daejeon","159540","1471040.0","734441.0","736599.0","292684","680542","309482","188332","8.7","4.0","5.9","644764.0","2.2815169581428245","0.24743937316599562"
"2020.06","Gangwon-do","81244","1539282.0","774325.0","764957.0","254416","662812","450024","172030","9.5","3.0","3.1","726980.0","2.117364989408237","0.11175548158133648"
